TIME_OF_DAY,TEMPERATURE,HUMIDITY,CO2_INFRAREDSENSOR,CO2_ELECTROCHEMICALSENSOR,METALOXIDESENSOR_UNIT1,METALOXIDESENSOR_UNIT2,METALOXIDESENSOR_UNIT3,METALOXIDESENSOR_UNIT4,CO_GASSENSOR,SESSION_ID,HVAC_OPERATION_MODE,AMBIENT_LIGHT_LEVEL,ACTIVITY_LEVEL
morning,20.04,57.61,125.3,548.57,463.07,708.28,677.74,599.62,1.0,3592,ventilation only,very bright,low activity
afternoon,23.17,51.35,112.39,548.42,475.14,720.37,667.18,606.93,1.0,1458,off,very bright,low activity
morning,19.88,57.94,126.98,547.88,465.74,715.29,667.43,608.35,1.0,3592,eco mode,moderate,low activity
morning,19.78,58.15,127.95,552.25,465.33,726.7,674.04,600.37,1.0,3592,heating active,bright,low activity
morning,19.79,58.09,127.62,552.24,461.98,698.88,661.32,586.31,1.0,3592,ventilation only,moderate,low activity
evening,23.69,51.96,122.25,559.36,492.54,703.26,631.69,572.51,1.0,4761,off,very dim,low activity
morning,19.69,51.42,129.96,549.6,481.89,700.61,655.77,574.88,2.0,3592,maintenance mode,very bright,low activity
afternoon,20.9,53.16,109.36,565.08,436.77,718.03,672.59,618.99,1.0,9385,maintenance mode,dim,low activity
morning,19.18,53.61,96.86,563.43,525.66,745.06,702.26,640.18,2.0,3592,maintenance mode,very bright,moderate activity
morning,18.88,52.95,89.0,561.39,531.55,746.05,705.75,633.97,1.0,3592,heating active,very bright,high activity
evening,20.73,49.85,125.19,582.98,435.88,726.7,618.16,546.81,2.0,1374,cooling active,moderate,moderate activity
night,21.35,52.68,107.45,546.33,471.59,726.7,657.39,590.51,1.0,4703,cooling active,very bright,low activity
morning,19.14,51.42,113.3,590.96,458.39,735.05,690.58,619.56,1.0,2105,ventilation only,bright,moderate activity
morning,18.82,53.03,104.43,562.55,475.81,715.11,659.52,590.73,1.0,2847,heating active,very bright,low activity
morning,18.95,51.42,81.72,619.36,522.61,766.52,714.93,667.96,0.0,3856,eco mode,very bright,moderate activity
evening,21.76,44.51,96.98,605.19,494.0,764.81,719.54,659.93,1.0,2105,eco mode,bright,low activity
afternoon,19.67,47.73,90.64,606.67,501.74,755.92,716.4,653.74,0.0,3418,ventilation only,moderate,moderate activity
evening,20.47,53.51,137.06,561.65,494.77,726.7,689.92,617.43,2.0,6528,maintenance mode,bright,moderate activity
evening,23.31,49.2,121.6,550.48,464.37,709.04,661.64,588.21,2.0,7058,eco mode,very dim,low activity
afternoon,18.97,53.77,80.03,570.13,544.12,754.18,706.33,642.54,0.0,3592,maintenance mode,bright,low activity
evening,22.3,47.63,107.71,595.71,409.5,720.72,683.3,611.33,2.0,9658,off,very bright,moderate activity
night,19.23,55.93,116.93,590.99,495.08,732.5,689.65,624.82,1.0,5693,ventilation only,moderate,moderate activity
evening,22.69,44.59,120.58,575.95,446.36,722.69,677.57,619.92,2.0,6431,maintenance mode,very bright,high activity
afternoon,19.48,51.42,104.86,564.34,505.26,745.21,695.91,639.07,1.0,9385,maintenance mode,very bright,high activity
afternoon,19.55,54.38,83.34,554.96,524.03,732.52,711.27,630.4,0.0,6817,eco mode,bright,moderate activity
afternoon,19.07,55.38,94.39,560.44,514.47,741.72,691.2,636.52,0.0,6817,eco mode,very bright,low activity
afternoon,18.89,55.89,86.5,557.4,539.24,741.78,705.78,634.44,0.0,6817,maintenance mode,very bright,low activity
morning,17.66,51.42,102.95,602.18,517.22,753.18,721.6,641.92,1.0,9658,off,very bright,moderate activity
evening,22.72,51.84,106.62,543.77,450.52,714.44,621.48,564.32,1.0,4703,maintenance mode,very bright,low activity
afternoon,18.96,55.97,88.33,556.91,511.99,739.24,711.04,630.16,0.0,6817,cooling active,very bright,moderate activity
afternoon,18.9,56.41,91.47,561.23,519.06,740.32,702.63,626.41,0.0,6817,cooling active,very bright,moderate activity
afternoon,18.88,56.75,105.71,557.68,498.81,735.62,685.91,617.95,1.0,6817,off,bright,high activity
night,20.67,51.42,137.33,562.53,369.66,680.07,629.23,535.07,2.0,3074,maintenance mode,bright,low activity
afternoon,18.75,57.43,108.36,550.42,482.44,731.63,699.64,621.81,1.0,6817,maintenance mode,very dim,high activity
evening,25.19,45.17,103.97,597.73,406.0,717.48,675.11,580.88,1.0,9127,cooling active,dim,low activity
afternoon,18.76,57.56,133.09,553.62,516.48,738.79,699.13,627.59,1.0,6817,ventilation only,bright,low activity
afternoon,18.96,57.9,136.89,540.1,515.63,732.18,701.08,640.82,2.0,6817,ventilation only,bright,high activity
evening,22.13,55.2,106.21,553.41,441.44,726.7,657.76,594.06,2.0,5214,maintenance mode,very bright,low activity
night,19.83,51.42,133.7,586.54,431.98,725.94,678.24,608.55,1.0,6847,eco mode,dim,high activity
night,20.25,51.9,97.4,559.58,487.35,743.25,697.03,640.02,1.0,9241,cooling active,very dim,moderate activity
morning,20.28,55.88,127.58,560.89,465.4,726.7,659.39,601.52,1.0,1903,eco mode,moderate,low activity
evening,23.75,44.97,108.22,600.6,415.94,726.7,673.85,580.33,1.0,8374,ventilation only,moderate,low activity
night,18.56,51.42,127.41,590.58,494.47,726.7,676.51,618.72,1.0,1374,off,very bright,low activity
afternoon,22.49,52.23,112.89,549.54,449.94,686.08,636.18,562.21,1.0,6817,maintenance mode,bright,low activity
morning,18.01,54.39,133.19,577.39,500.37,727.01,672.5,592.11,1.0,7963,off,very bright,moderate activity
morning,19.91,51.42,130.33,559.47,486.27,732.42,677.77,617.65,1.0,8936,off,very bright,moderate activity
afternoon,23.2,51.39,115.81,548.13,457.08,726.7,636.61,566.7,3.0,6817,maintenance mode,very dim,low activity
evening,23.83,46.71,124.86,582.5,393.03,726.7,671.91,597.72,1.0,9658,cooling active,moderate,low activity
afternoon,16.83,50.78,87.87,596.3,489.23,732.88,694.85,609.46,1.0,3418,cooling active,bright,moderate activity
afternoon,22.96,52.02,105.67,550.67,456.6,683.9,634.56,574.64,3.0,6817,heating active,very bright,low activity
afternoon,23.38,51.42,109.86,546.98,439.19,693.06,639.48,571.66,1.0,6817,off,very bright,low activity
afternoon,23.72,50.66,112.03,548.99,457.82,687.59,648.45,577.93,3.0,6817,heating active,bright,low activity
afternoon,23.53,51.38,106.04,541.67,452.28,702.29,651.09,578.92,3.0,6817,heating active,bright,low activity
night,19.61,55.06,123.42,551.13,482.3,699.16,647.03,573.65,2.0,7058,ventilation only,very bright,low activity
evening,23.06,51.42,111.21,600.2,502.36,726.7,710.48,653.99,1.0,2105,cooling active,very bright,moderate activity
evening,22.5,47.76,108.44,593.09,478.03,733.5,679.68,611.83,1.0,9658,heating active,very bright,moderate activity
evening,23.96,50.9,105.12,554.92,464.64,699.35,653.96,572.8,3.0,6817,heating active,very bright,low activity
evening,24.38,51.42,108.47,547.21,456.5,696.41,654.99,582.59,3.0,6817,ventilation only,very dim,moderate activity
evening,24.05,50.93,110.11,543.65,472.88,702.4,663.72,591.35,2.0,6817,maintenance mode,bright,low activity
afternoon,20.05,51.42,91.11,609.13,494.04,746.74,701.04,638.02,1.0,3856,ventilation only,bright,low activity
evening,24.11,51.42,109.51,543.48,470.6,701.86,658.58,589.98,2.0,6817,off,bright,low activity
evening,24.63,51.42,111.78,542.93,464.52,707.21,668.94,594.11,2.0,6817,ventilation only,very bright,low activity
night,19.88,51.06,117.03,583.67,451.37,712.65,631.35,566.4,2.0,1374,eco mode,bright,low activity
afternoon,19.26,53.74,89.27,579.85,470.3,726.15,679.88,611.7,1.0,6528,off,bright,low activity
afternoon,18.54,51.42,104.59,561.24,479.09,726.7,632.9,560.25,1.0,7058,heating active,moderate,low activity
evening,24.46,51.42,113.53,545.84,460.49,713.81,667.25,593.64,2.0,6817,off,very dim,low activity
evening,24.57,50.41,118.81,543.95,473.38,704.85,662.82,593.52,2.0,6817,cooling active,very bright,low activity
morning,17.27,51.42,115.41,585.75,501.96,753.06,702.24,646.04,1.0,2679,maintenance mode,dim,moderate activity
night,17.84,51.42,116.64,584.95,486.11,736.25,685.0,638.07,1.0,2679,eco mode,bright,low activity
afternoon,21.13,54.44,133.94,548.53,433.28,726.7,629.51,553.18,2.0,7058,cooling active,very bright,low activity
evening,22.95,51.42,125.63,550.13,469.39,707.97,660.72,580.06,2.0,7058,maintenance mode,moderate,low activity
afternoon,20.93,58.63,151.51,537.16,495.74,709.26,658.07,602.93,2.0,1458,cooling active,very bright,moderate activity
morning,18.93,55.75,134.76,578.66,484.8,724.51,679.64,617.78,1.0,4507,off,bright,low activity
morning,17.87,51.42,90.01,607.74,516.81,744.2,708.48,633.8,1.0,9658,ventilation only,bright,low activity
afternoon,22.87,52.27,119.54,543.03,466.8,680.2,649.18,573.86,3.0,6817,off,very bright,low activity
evening,23.77,44.74,138.47,584.77,454.41,699.56,651.59,554.16,1.0,6847,cooling active,bright,low activity
afternoon,23.06,52.64,102.26,557.42,500.13,719.52,681.21,608.0,1.0,3592,cooling active,very bright,low activity
afternoon,19.45,53.72,123.88,577.11,418.1,722.05,678.02,610.89,1.0,3074,cooling active,very bright,moderate activity
evening,25.59,51.42,117.01,539.67,482.83,681.9,610.5,544.67,2.0,6817,off,very bright,low activity
evening,25.24,51.42,112.24,543.87,480.78,726.7,613.39,559.89,2.0,6817,heating active,very bright,low activity
evening,24.13,51.03,109.98,547.36,487.61,695.13,612.56,550.75,1.0,6817,heating active,dim,low activity
evening,24.43,50.17,113.52,547.85,479.57,686.34,611.01,562.96,1.0,6817,heating active,very dim,low activity
evening,23.58,52.07,115.65,547.32,478.45,691.24,613.3,551.94,1.0,6817,heating active,very bright,low activity
evening,23.6,51.42,111.05,547.01,474.37,686.53,614.85,556.21,1.0,6817,cooling active,bright,low activity
evening,23.59,51.84,109.26,545.12,470.99,696.3,614.85,545.89,1.0,6817,off,bright,low activity
night,22.99,53.25,111.21,545.61,468.18,691.71,609.62,560.17,1.0,6817,maintenance mode,very bright,low activity
night,23.29,52.08,103.71,544.91,467.02,693.92,625.23,563.63,1.0,6817,off,very bright,low activity
night,23.28,51.82,108.81,542.12,463.4,691.16,619.21,559.25,1.0,6817,maintenance mode,very bright,low activity
night,22.82,53.12,113.88,546.94,470.6,691.31,628.75,564.82,1.0,6817,cooling active,very bright,low activity
night,19.92,56.41,129.07,565.96,381.66,691.63,630.45,537.27,2.0,6528,heating active,very bright,low activity
night,23.07,52.28,110.69,550.38,470.79,697.96,632.91,572.41,1.0,6817,off,bright,low activity
night,22.67,53.2,111.39,544.68,470.64,700.91,633.44,569.54,1.0,6817,heating active,very bright,moderate activity
night,22.76,53.17,105.37,544.95,463.95,726.7,619.87,571.91,1.0,6817,cooling active,moderate,low activity
night,22.99,51.42,119.49,550.4,474.41,690.84,625.21,570.14,1.0,6817,heating active,moderate,low activity
afternoon,23.84,48.93,121.32,549.26,412.28,726.7,690.78,625.13,1.0,4703,eco mode,very bright,low activity
night,23.02,52.13,116.66,546.39,486.27,726.7,624.65,581.66,1.0,6817,maintenance mode,very bright,low activity
night,22.81,51.42,118.07,543.63,485.09,695.83,628.14,568.43,1.0,6817,off,bright,low activity
night,22.73,51.42,109.54,548.6,468.75,699.18,632.78,582.75,1.0,6817,heating active,moderate,low activity
night,22.71,52.62,114.54,540.1,472.96,700.1,633.68,574.39,1.0,6817,ventilation only,dim,low activity
night,22.76,52.22,117.45,546.78,470.93,707.76,638.98,580.47,1.0,6817,ventilation only,very bright,low activity
night,22.88,51.42,111.68,547.48,483.26,726.7,636.94,578.3,1.0,6817,maintenance mode,very bright,low activity
night,22.47,52.39,113.48,550.46,485.93,704.6,640.13,575.0,1.0,6817,eco mode,very bright,low activity
night,22.44,52.64,111.73,545.96,479.75,709.58,637.74,587.72,1.0,6817,heating active,very bright,low activity
night,22.32,52.98,116.32,548.19,469.54,701.42,643.69,577.56,1.0,6817,cooling active,dim,low activity
night,22.37,52.87,119.54,546.59,480.93,711.05,641.59,586.69,1.0,6817,cooling active,dim,low activity
night,22.46,52.5,122.24,542.68,471.65,705.05,642.08,591.73,1.0,6817,maintenance mode,very bright,low activity
night,22.57,52.1,115.98,548.63,481.47,702.6,650.44,592.65,1.0,6817,ventilation only,very bright,low activity
night,22.12,53.1,119.27,549.64,497.82,708.26,643.97,592.02,1.0,6817,ventilation only,bright,moderate activity
night,22.04,52.99,114.88,549.67,483.47,716.11,652.59,588.58,1.0,6817,maintenance mode,moderate,low activity
afternoon,23.16,51.49,112.02,543.96,481.3,726.7,671.95,601.21,1.0,7058,cooling active,very dim,high activity
night,17.24,53.71,118.25,589.71,493.3,752.33,710.48,655.16,0.0,5820,off,very bright,low activity
night,21.66,51.42,111.06,545.85,493.39,711.98,655.42,594.65,1.0,6817,eco mode,moderate,low activity
afternoon,17.5,52.49,87.17,598.73,527.71,764.99,717.45,663.08,1.0,4129,cooling active,very bright,moderate activity
night,21.7,53.4,108.92,552.7,478.21,726.7,652.53,596.43,1.0,6817,maintenance mode,moderate,low activity
night,21.57,53.56,107.68,547.45,503.26,709.14,654.21,593.24,1.0,6817,ventilation only,very bright,low activity
night,21.42,53.79,111.35,553.23,494.06,720.05,671.22,606.33,1.0,6817,ventilation only,bright,low activity
night,18.36,51.42,123.84,591.33,493.5,726.7,684.92,617.9,1.0,4129,heating active,very dim,low activity
evening,21.98,45.04,125.6,575.7,485.11,714.97,680.92,604.5,2.0,2679,ventilation only,dim,low activity
night,21.05,54.25,109.56,553.25,502.61,715.56,665.18,592.5,1.0,6817,maintenance mode,moderate,high activity
night,21.02,51.42,112.43,549.21,502.07,732.35,671.87,617.4,1.0,6817,eco mode,very bright,high activity
night,21.1,53.68,107.59,550.86,493.02,721.41,658.81,600.22,1.0,6817,heating active,bright,moderate activity
night,20.82,51.42,109.48,550.78,503.02,724.68,678.44,605.94,1.0,6817,heating active,very bright,moderate activity
evening,23.05,51.42,116.04,593.42,423.12,728.18,683.03,615.19,1.0,2105,off,very bright,high activity
morning,19.84,54.66,112.07,549.93,500.64,695.17,635.49,578.23,1.0,1458,ventilation only,very bright,low activity
morning,18.28,57.25,109.81,600.1,505.45,726.7,705.1,641.75,1.0,9127,ventilation only,very bright,moderate activity
morning,19.18,52.31,117.39,578.02,468.98,731.42,692.53,623.4,1.0,7395,maintenance mode,very bright,high activity
night,20.45,54.91,105.11,547.47,500.7,726.7,676.01,612.33,1.0,1458,cooling active,dim,moderate activity
morning,20.53,51.42,118.22,545.02,515.34,723.22,674.61,616.56,1.0,1458,off,very bright,low activity
morning,20.31,55.12,111.6,546.41,515.7,721.47,672.09,615.25,1.0,1458,cooling active,bright,low activity
morning,20.41,54.86,112.05,543.11,513.96,726.7,678.05,605.33,1.0,1458,maintenance mode,dim,moderate activity
morning,20.26,55.12,111.61,548.76,513.37,721.25,671.86,613.73,1.0,1458,heating active,bright,moderate activity
morning,20.17,55.29,115.63,547.82,506.28,722.1,667.71,611.13,1.0,1458,off,bright,low activity
night,20.51,54.99,109.34,606.98,426.23,726.7,637.63,556.94,2.0,3856,eco mode,bright,low activity
morning,20.09,55.4,113.97,550.19,507.0,724.64,685.42,615.65,1.0,1458,maintenance mode,bright,high activity
morning,20.13,55.21,115.92,545.67,508.28,733.1,677.8,609.48,1.0,1458,ventilation only,bright,moderate activity
morning,20.02,51.42,114.12,549.07,504.69,730.79,669.09,619.79,1.0,1458,heating active,very bright,moderate activity
morning,19.97,51.42,113.89,548.44,508.13,726.7,672.95,620.12,1.0,1458,ventilation only,very bright,moderate activity
morning,18.33,51.42,84.12,571.59,525.72,749.09,692.41,640.37,2.0,9241,cooling active,bright,moderate activity
morning,20.14,56.41,118.27,545.21,487.99,726.7,653.39,591.09,1.0,3592,cooling active,bright,low activity
morning,19.98,55.22,114.4,549.7,517.69,725.42,680.51,615.14,1.0,1458,off,very bright,low activity
morning,19.96,55.31,110.66,553.23,522.83,731.29,676.04,616.87,1.0,1458,cooling active,bright,moderate activity
night,21.33,51.42,139.12,556.74,451.86,699.32,637.93,573.25,1.0,1903,heating active,dim,low activity
night,19.99,51.42,126.94,588.74,416.13,727.57,676.59,598.51,1.0,6847,off,bright,moderate activity
morning,19.87,55.52,116.23,545.97,520.14,733.55,676.75,626.81,1.0,1458,eco mode,very bright,high activity
morning,19.84,55.59,116.29,550.68,511.1,732.52,678.8,613.1,1.0,1458,eco mode,bright,moderate activity
morning,19.66,56.01,112.4,557.43,515.95,726.7,688.96,614.2,1.0,1458,off,dim,moderate activity
evening,21.89,49.28,105.97,553.23,451.2,730.56,692.67,631.79,1.0,2847,heating active,very bright,moderate activity
night,20.4,53.07,123.39,576.15,478.49,738.69,684.25,627.7,1.0,7395,off,bright,moderate activity
morning,19.9,51.42,108.84,550.59,487.58,726.7,622.11,569.28,1.0,1458,ventilation only,very bright,low activity
morning,19.78,55.04,110.77,552.27,489.92,692.33,623.74,567.41,2.0,1458,ventilation only,bright,low activity
morning,19.7,55.27,111.31,550.16,498.0,699.01,634.43,574.1,1.0,1458,heating active,dim,low activity
morning,17.76,46.21,84.8,595.02,437.8,760.97,718.31,659.83,1.0,6431,heating active,very bright,low activity
evening,24.28,47.7,107.44,575.63,447.48,726.7,678.24,598.93,2.0,7395,off,dim,low activity
night,19.36,51.42,115.28,598.67,457.5,726.7,708.99,630.62,1.0,2105,maintenance mode,bright,high activity
morning,20.31,53.8,98.5,554.3,490.29,697.81,631.03,565.02,2.0,1458,maintenance mode,very bright,low activity
afternoon,22.01,51.42,90.44,592.31,512.38,737.43,705.91,642.74,1.0,1826,ventilation only,moderate,low activity
afternoon,18.94,55.14,121.19,578.88,422.49,722.48,684.0,622.3,1.0,3074,maintenance mode,very bright,high activity
evening,23.52,50.24,124.66,573.78,413.5,726.7,661.6,590.92,2.0,1826,eco mode,bright,low activity
morning,20.31,53.52,98.16,551.6,499.57,705.03,631.48,580.63,2.0,1458,cooling active,very dim,low activity
morning,20.12,53.98,99.84,549.12,506.94,705.09,641.96,580.06,2.0,1458,cooling active,bright,low activity
morning,19.6,51.42,96.95,547.33,502.01,712.64,665.87,600.94,2.0,1458,eco mode,moderate,low activity
morning,19.49,54.72,99.37,550.9,508.39,718.26,650.03,587.95,1.0,1458,off,very dim,low activity
evening,21.71,51.42,102.48,596.57,476.47,721.03,691.29,611.2,1.0,9658,eco mode,moderate,low activity
morning,18.95,53.53,87.64,556.27,532.76,727.15,675.15,620.66,1.0,1458,off,moderate,moderate activity
morning,19.34,55.04,105.28,547.83,522.34,723.89,672.51,610.07,2.0,1458,ventilation only,bright,moderate activity
morning,19.34,51.42,108.88,547.39,525.18,725.32,672.94,603.13,2.0,1458,ventilation only,moderate,moderate activity
evening,24.22,51.42,108.38,577.11,459.28,718.79,680.77,591.03,2.0,7395,ventilation only,very bright,low activity
morning,19.66,55.8,118.51,548.82,514.66,726.7,665.81,604.06,2.0,1458,cooling active,very bright,low activity
morning,19.33,57.46,122.62,545.77,532.21,714.0,663.15,597.56,2.0,1458,ventilation only,dim,low activity
night,22.52,51.18,119.11,574.28,438.24,704.56,668.37,592.26,1.0,4507,cooling active,bright,moderate activity
morning,19.87,57.99,142.16,532.21,525.5,714.4,663.72,595.77,2.0,1458,cooling active,very bright,low activity
night,21.4,46.03,114.07,576.54,436.64,728.74,683.94,612.08,2.0,6431,ventilation only,bright,low activity
evening,24.3,46.56,124.99,595.83,448.24,719.66,673.05,579.76,1.0,5693,off,bright,low activity
afternoon,19.64,53.75,112.68,545.11,516.55,738.54,681.24,619.47,2.0,1458,eco mode,moderate,moderate activity
afternoon,19.36,55.53,109.12,550.42,504.62,732.1,684.12,626.7,2.0,1458,ventilation only,very bright,low activity
afternoon,19.32,51.42,114.82,542.93,470.06,730.32,679.43,607.07,2.0,1458,maintenance mode,bright,low activity
night,22.05,51.42,124.59,577.14,423.08,702.6,657.58,602.45,1.0,4507,ventilation only,bright,low activity
afternoon,20.59,57.31,148.17,538.43,483.66,726.7,671.46,591.04,2.0,1458,heating active,moderate,low activity
morning,18.04,50.71,108.89,588.81,448.52,740.05,686.65,609.13,1.0,3418,eco mode,very dim,high activity
afternoon,21.68,55.72,129.89,537.68,501.12,722.01,668.96,614.19,2.0,1458,off,very bright,low activity
evening,22.96,46.64,112.16,596.59,472.86,725.31,687.25,618.28,1.0,9658,maintenance mode,very bright,moderate activity
afternoon,22.0,55.49,117.76,546.29,498.47,726.7,664.53,605.14,2.0,1458,eco mode,very bright,low activity
afternoon,22.0,54.94,110.96,549.11,493.4,714.41,676.56,591.62,2.0,1458,eco mode,bright,low activity
afternoon,20.36,51.77,88.73,613.35,515.42,764.3,715.22,648.66,1.0,3856,maintenance mode,very bright,low activity
morning,16.92,54.15,123.17,595.39,503.61,754.0,719.81,666.16,0.0,5820,eco mode,very bright,high activity
night,20.94,55.87,129.22,555.3,451.75,711.19,654.24,585.38,1.0,1903,heating active,very bright,low activity
night,19.57,55.2,116.91,594.72,468.37,733.11,695.26,612.98,1.0,5693,ventilation only,dim,low activity
afternoon,23.06,51.42,113.66,542.46,504.08,720.85,672.23,616.86,1.0,1458,ventilation only,very bright,low activity
afternoon,23.2,51.42,109.61,548.71,492.1,726.7,667.43,614.8,2.0,1458,maintenance mode,very bright,low activity
afternoon,23.55,50.54,116.37,544.22,490.65,726.48,675.88,604.41,1.0,1458,maintenance mode,bright,low activity
afternoon,23.35,51.06,111.17,535.4,495.08,719.79,674.65,609.01,1.0,1458,cooling active,bright,low activity
afternoon,23.21,51.46,112.46,544.86,495.37,717.54,660.94,604.87,1.0,1458,cooling active,very bright,low activity
night,21.38,56.92,137.55,559.76,426.76,699.78,637.52,572.93,2.0,4761,cooling active,dim,low activity
afternoon,23.69,50.14,115.59,553.19,499.21,710.58,676.63,605.71,1.0,1458,ventilation only,very bright,low activity
afternoon,24.0,49.6,108.02,550.59,501.81,715.76,674.65,613.52,1.0,1458,heating active,very dim,moderate activity
morning,18.22,57.34,117.71,597.68,490.19,739.84,710.2,624.58,1.0,9127,cooling active,dim,moderate activity
afternoon,22.34,54.07,108.57,546.1,461.12,721.78,648.79,614.56,1.0,1458,off,moderate,low activity
afternoon,22.57,53.09,111.6,545.3,479.8,701.84,668.93,598.44,1.0,1458,off,moderate,low activity
afternoon,23.17,51.35,112.39,548.42,475.14,726.7,667.18,606.93,1.0,1458,off,very bright,low activity
afternoon,23.11,51.42,109.33,550.38,471.09,717.9,662.49,606.68,1.0,1458,ventilation only,bright,low activity
afternoon,23.14,51.42,111.53,550.91,497.61,716.18,670.6,601.47,1.0,1458,eco mode,bright,low activity
morning,17.28,51.42,87.3,598.65,536.04,765.44,740.33,681.65,1.0,4129,cooling active,very dim,low activity
afternoon,23.41,51.56,116.08,545.85,463.51,712.1,669.64,594.1,1.0,1458,cooling active,bright,low activity
afternoon,23.29,52.0,110.02,547.52,479.71,710.24,666.87,603.07,1.0,1458,cooling active,very bright,low activity
afternoon,23.41,51.45,106.4,544.38,461.27,708.25,662.97,600.64,1.0,1458,maintenance mode,very bright,moderate activity
afternoon,23.01,52.31,106.8,542.25,475.64,711.07,671.26,607.17,1.0,1458,heating active,bright,low activity
afternoon,22.73,51.42,103.14,547.79,478.06,712.7,660.45,605.54,1.0,1458,off,very bright,low activity
afternoon,23.01,52.27,109.48,544.73,480.9,707.15,669.71,598.31,1.0,1458,off,very bright,low activity
night,17.79,49.77,119.05,580.32,503.81,729.82,697.6,618.85,1.0,2679,off,very bright,moderate activity
afternoon,23.13,51.42,113.16,546.94,477.88,714.05,661.94,595.44,1.0,1458,heating active,moderate,low activity
afternoon,23.34,52.71,135.09,537.25,506.79,701.58,660.33,590.59,2.0,1458,off,very bright,low activity
afternoon,22.98,54.26,140.45,541.14,485.63,710.53,652.57,579.95,2.0,1458,off,very bright,low activity
afternoon,22.91,53.51,138.5,538.27,484.05,707.57,656.49,596.04,2.0,1458,ventilation only,bright,low activity
afternoon,23.49,51.91,117.35,546.85,481.35,721.47,673.87,604.24,2.0,1458,ventilation only,dim,low activity
afternoon,24.04,51.42,111.95,542.69,497.06,717.34,668.83,595.34,2.0,1458,off,bright,low activity
afternoon,23.74,50.86,114.08,549.02,484.81,710.41,670.52,606.22,2.0,1458,cooling active,moderate,low activity
afternoon,23.16,52.04,118.42,540.14,475.1,726.7,667.67,593.88,2.0,1458,ventilation only,bright,low activity
afternoon,22.94,52.67,112.53,546.31,479.36,713.04,674.49,586.62,2.0,1458,off,bright,low activity
afternoon,23.76,51.22,109.55,539.17,479.04,701.55,664.64,594.07,2.0,1458,off,very bright,low activity
night,22.38,51.42,128.74,560.05,410.3,685.29,622.01,556.07,2.0,1903,ventilation only,very bright,low activity
afternoon,23.35,52.24,112.87,543.18,494.19,707.75,678.91,605.7,2.0,1458,eco mode,very bright,low activity
evening,23.19,52.46,111.02,542.44,485.11,719.64,665.33,604.37,2.0,1458,eco mode,very bright,low activity
evening,23.03,52.92,105.26,542.37,480.67,709.51,673.55,582.69,1.0,1458,heating active,very dim,low activity
evening,23.44,51.47,104.86,544.9,481.64,726.7,663.37,600.91,1.0,1458,eco mode,moderate,low activity
evening,23.28,51.42,112.97,542.1,486.4,712.18,654.76,604.86,1.0,1458,maintenance mode,very bright,low activity
afternoon,18.87,54.56,104.74,581.51,474.67,742.82,695.98,619.41,1.0,4507,maintenance mode,very bright,high activity
evening,23.65,51.42,112.36,547.05,478.56,712.38,660.21,603.14,1.0,1458,cooling active,dim,low activity
morning,19.63,56.99,116.63,601.5,461.59,726.7,679.68,610.12,2.0,7241,cooling active,very dim,high activity
evening,23.37,51.77,107.41,541.44,461.15,714.26,663.35,586.77,2.0,1458,maintenance mode,very bright,low activity
evening,23.05,52.18,110.66,547.88,471.72,726.7,661.03,590.35,2.0,1458,cooling active,bright,low activity
evening,22.94,52.14,102.88,546.98,467.08,713.23,661.11,594.05,2.0,1458,eco mode,bright,low activity
evening,23.69,51.06,107.08,543.13,478.73,713.55,665.48,597.17,2.0,1458,ventilation only,very bright,low activity
evening,24.0,50.65,109.08,545.75,448.87,702.5,654.15,572.53,2.0,1458,cooling active,very bright,low activity
night,19.88,54.32,100.53,549.32,490.48,737.25,679.13,603.5,1.0,4703,ventilation only,moderate,low activity
evening,23.38,52.17,103.2,547.34,467.69,706.54,660.66,592.1,2.0,1458,cooling active,very bright,low activity
evening,23.03,52.73,100.43,542.04,470.56,704.83,661.58,599.21,2.0,1458,off,very dim,low activity
evening,23.74,51.12,106.26,545.1,468.55,701.86,667.91,599.75,2.0,1458,maintenance mode,very bright,moderate activity
evening,23.21,51.42,120.42,541.17,467.07,708.01,666.27,571.87,2.0,4703,eco mode,bright,low activity
evening,23.32,49.18,125.38,552.44,473.49,726.7,658.63,593.02,2.0,7058,off,bright,low activity
afternoon,23.53,50.14,102.98,546.09,414.86,724.18,643.64,575.35,1.0,4703,ventilation only,moderate,low activity
afternoon,19.63,51.42,89.6,613.21,524.01,762.75,714.04,645.63,0.0,9127,maintenance mode,very dim,moderate activity
afternoon,20.95,51.42,104.66,515.4,548.76,750.72,697.51,609.1,2.0,4703,cooling active,very dim,high activity
morning,20.41,53.29,102.87,556.98,504.74,702.47,649.82,577.33,2.0,1458,ventilation only,very bright,moderate activity
afternoon,21.58,52.19,102.64,519.42,459.68,745.02,704.92,615.85,2.0,4703,eco mode,dim,low activity
afternoon,22.19,49.88,101.39,539.27,519.41,768.77,734.61,664.03,2.0,4703,cooling active,moderate,moderate activity
afternoon,23.76,51.42,108.87,574.94,472.9,726.7,679.27,618.46,1.0,4507,eco mode,very bright,low activity
afternoon,22.49,49.65,96.35,538.26,528.21,757.34,715.61,641.1,1.0,4703,off,very bright,moderate activity
evening,22.47,48.15,116.33,586.14,492.29,721.79,677.25,596.35,1.0,4129,ventilation only,very bright,high activity
afternoon,22.72,50.18,113.61,540.0,515.24,759.58,719.69,644.03,1.0,4703,maintenance mode,bright,moderate activity
